Source,Target,Weight
'Friends & Family',HOWZAT media,1
'Friends & Family',Northstar Equity Investors,1
'Friends & Family',Prime Ventures,1
.406 Ventures,Acadia Woods Partners,1
.406 Ventures,Advance Publications,1
.406 Ventures,Atlas Venture,7
.406 Ventures,Avalon Ventures,2
.406 Ventures,Bain Capital Ventures,2
.406 Ventures,Castile Ventures,2
.406 Ventures,Castille Ventures,1
.406 Ventures,Charles River Ventures,1
.406 Ventures,Chrysalis Ventures,2
.406 Ventures,Cisco,3
.406 Ventures,Dave McClure,1
.406 Ventures,Fairhaven Capital Partners,1
.406 Ventures,Felicis Ventures,1
.406 Ventures,Fidelity Biosciences,1
.406 Ventures,First Round Capital,4
.406 Ventures,Formative Ventures,3
.406 Ventures,Founders Fund,2
.406 Ventures,General Catalyst Partners,1
.406 Ventures,Globespan Capital Partners,1
.406 Ventures,Goldman Sachs,2
.406 Ventures,Harmony Partners,1
.406 Ventures,Highland Capital Partners,2
.406 Ventures,In-Q-Tel,1
.406 Ventures,Intel Capital,2
.406 Ventures,Kleiner Perkins Caufield & Byers,2
.406 Ventures,Marc Benioff,2
.406 Ventures,Meritech Capital Partners,1
.406 Ventures,Mitsui Global Investment,1
.406 Ventures,Monitor Clipper Funds,1
.406 Ventures,New Science Ventures,1
.406 Ventures,New York Angels,1
.406 Ventures,New York City Investment Fund,1
.406 Ventures,Nexus Venture Partners,2
.406 Ventures,ORIX Ventures,1
.406 Ventures,OpenView Venture Partners,1
.406 Ventures,Physic Ventures,1
.406 Ventures,Polaris Partners,4
.406 Ventures,Prism Venture Management,5
.406 Ventures,Rock Maple Ventures,2
.406 Ventures,Rose Tech Ventures,2
.406 Ventures,Rovi Corporation,3
.406 Ventures,Sequoia Capital,1
.406 Ventures,Sigma Prime Ventures,1
.406 Ventures,Silicon Valley Bank,1
.406 Ventures,StarVest Partners,2
.406 Ventures,Symantec,2
.406 Ventures,Technicolor,1
.406 Ventures,The Accelerator Group,1
.406 Ventures,The Aurora Funds,2
.406 Ventures,Thrive Capital,2
.406 Ventures,Tony Hsieh,1
.406 Ventures,Vermont Seed Capital Fund,1
.406 Ventures,fidelity growth partners global,1
1-800-FLOWERS.COM,Branford Castle Private Equity,1
1-800-FLOWERS.COM,Canaan Partners,1
1-800-FLOWERS.COM,Jit Saxena,1
1-800-FLOWERS.COM,New Orleans Startup Fund,1
1-800-FLOWERS.COM,TiE Angels,1
10 Others,BON Fund,1
10 Others,Broadhorn Capital,1
10 Others,Interstate Enterprises,1
10 Others,Jeff Tegethoff,1
101 Startups,Cabiedes & Partners,1
101 Startups,Trovit,1
10X Venture Partners,Borealis Ventures,1
10X Venture Partners,Nick Grewal,1
10X Venture Partners,Wasabi Ventures,1
10X Venture Partners,eCoast Angel Network,1
10Xelerator,Founders Factory,1
10Xelerator,TechColumbus,1
10i10 ApS,Creandum,1
10x,Founders Factory,1
123 Venture,ACE Management,3
123 Venture,CDC Innovation,1
123 Venture,CFH,1
123 Venture,Co-Investor,1
123 Venture,CrÃ©dit Agricole Private Equity,1
123 Venture,EVP Capital Management,1
123 Venture,Financiere De l'Echiquier,3
123 Venture,KfW Bankengruppe,1
123 Venture,La FinanciÃƒÂ¨re de Brienne,2
123 Venture,SG Asset Management Private Equity,1
123 Venture,SIB Innovations,1
123 Venture,TechFund Capital,3
123 Venture,TechnoStart,1
123 Venture,Triangle Venture Capital Group,2
123 Venture,Viveris Management,1
123 Venture,eCAPITAL Entrepreneurial Partners AG,1
123Venture,ACE Management,1
123Venture,Auriga Partners,2
123Venture,Creabilis,1
123Venture,Demeter Partners,1
123Venture,Edmond de Rothschild Venture Capital,1
123Venture,Elaia Partners,3
123Venture,Financiere De l'Echiquier,1
123Venture,Galia Gestion,1
123Venture,IRDI Midi Pyrenees,1
123Venture,Matignon Investissement & Gestion,2
123Venture,Nauta Capital,1
123Venture,Neotec Capital Riesgo,1
123Venture,Partech Ventures,1
123Venture,Rothschild Gestion,2
123Venture,TechFund Capital,1
123Venture,Upfront Ventures,1
123Venture,Viveris Management,1
15 socios angel 156KÂ€,CDTI (NEOTEC),1
1C Company,Digital Sky Technologies,1
1C Company,Sergey Orlovskiy,1
1in10 Ventures,Synetro Group,1
1stMover.org,Felix Bauchspiess,1
1to1 Venture Partners,Connecticut Innovations,1
1to1 Venture Partners,Trident Capital,1
2020 Ventures,500 Startups,4
2020 Ventures,Dan Martell,1
2020 Ventures,Dave Morin,1
2020 Ventures,Derek Dukes,1
2020 Ventures,Felicis Ventures,1
2020 Ventures,High Line Venture Partners,1
2020 Ventures,Index Ventures,2
2020 Ventures,Javelin Venture Partners,1
2020 Ventures,Kii Capital,2
2020 Ventures,Rahul Prakash,1
2020 Ventures,Steve Lee,1
2020 Ventures,Strive Capital,2
2020 Ventures,Zelkova Ventures,1
20K Industries,CIT GAP Funds,1
212,European Bank for Reconstruction and Development (EBRD),1
212,Simile Ventures,1
212 Capital Partners,Aslanoba Capital,2
21Ventures,Frontier Communications Corporation,1
21Ventures,Qualcomm,1
2B Angels,500 Startups,1
2B Angels,Cross Atlantic Capital Partners,1
2B Angels,Explore. Dream. Discover.,1
2B Angels,Magma Venture Partners,1
2B Angels,PLUS Ventures,5
2B Angels,Pitango Venture Capital,1
2B Angels,Rhodium,2
2B Angels,Rutledge Vine Capital,2
2B Angels,Tron Capital,1
2B Angels,Zohar Gilon,1
2B Angels,lool ventures,1
2BAngles,Neurato Investments,2
2BAngles,PLUS Ventures,1
2C3i,Chelsfield Partners,1
2C3i,Elliot Bernerd,1
2C3i,Giza Venture Capital,1
2C3i,Prime Minister of Qatar -Sheikh Hamad bin Jassim bin Jaber Al Thani,1
2C3i,Rahman Abdul El Assir,1
2M Companies,500 Startups,1
2M Companies,Crestview Partners,1
2M Companies,Endeavor Partners,1
2M Companies,K9 Ventures,1
2M Companies,Premier Asset Management,1
2M Companies,RENN Capital,1
2M Companies,Renaissance Investment Management,1
2M Companies,SF Capital,1
2M Companies,Straus Partners,1
2M Companies,Toibb Enterprises,1
3 Others,Broadhorn Capital,1
3 Others,Jeff Tegethoff,1
3 Wise Ventures,500 Startups,1
3 Wise Ventures,Alex Karelin,1
3 Wise Ventures,Andy Rankin,1
3 Wise Ventures,Balaji Gopinath,1
3 Wise Ventures,Clark Landry,1
3 Wise Ventures,Dave McClure,1
3 Wise Ventures,David Pell,1
3 Wise Ventures,David Steakley,1
3 Wise Ventures,Dennis Ives,1
3 Wise Ventures,Dr. Alan Altman,1
3 Wise Ventures,Jamie Weissenborn,1
3 Wise Ventures,Jody Sherman,1
3 Wise Ventures,Josh Reznick,1
3 Wise Ventures,Kima Ventures,1
3 Wise Ventures,Maneesh Arora,1
3 Wise Ventures,Mark Suster,1
3 Wise Ventures,Matt Coffin,1
3 Wise Ventures,Matthew French,1
3 Wise Ventures,Michael French,1
3 Wise Ventures,Paige Craig,1
3 Wise Ventures,Robert Beck,1
3 Wise Ventures,Roger Dickey,1
3 Wise Ventures,Sizhao Yang,1
3 Wise Ventures,Tom & Peggy Richie,1
3 Wise Ventures,Tom McInerney,1
313 Ventures,Ludlow Ventures,1
313 Ventures,Zelkova Ventures,1
350 Capital,Innovacorp,1
350 Capital,Shaw Group,1
350 Capital,Strategic angels,1
350 Investment Partners,The North West Fund for Energy & Environmental,1
360 Capital Partners,360by360 Competition,1
360 Capital Partners,Acton Capital Partners,1
360 Capital Partners,Alven Capital,3
360 Capital Partners,Arts Alliance Ventures,1
360 Capital Partners,Bpifrance,1
360 Capital Partners,DN Capital,1
360 Capital Partners,Fonds pour la SociÃ©tÃ© Numerique,1
360 Capital Partners,Highland Capital Partners,1
360 Capital Partners,I-Source Gestion,5
360 Capital Partners,IDInvest Partners,2
360 Capital Partners,Innoven Partners,1
360 Capital Partners,Italian Angels for Growth,1
360 Capital Partners,Life Sciences Partners,1
360 Capital Partners,Partech Ventures,1
360 Capital Partners,Seventure Partners,3
360 Capital Partners,TechFund,1
360 Capital Partners,Ventech,2
37 Ventures,ACE Fund,2
37 Ventures,Jackrel Ventures,1
37 Ventures,Keire,1
37 Ventures,Knight & Bishop,1
37 Ventures,Launchpad LA,2
37 Ventures,Maverick Angels,1
37 Ventures,Pasadena Angels,1
37 Ventures,Tech Coast Angels,2
37 Ventures,Yuri Pikover,1
3Com Ventures,AT&T Intellectual Property,1
3Com Ventures,GunnAllen Venture Partners,1
3Com Ventures,Innovacom,1
3Com Ventures,Intel Capital,1
3Com Ventures,Investor Growth Capital,1
3Com Ventures,JK&B Capital,1
3Com Ventures,Vesbridge Partners,1
3Com Ventures,WS Investments,1
3G Capital Partners,Ed Ojdana,1
3G Capital Partners,Silicon Valley Bank,1
3M Company,DOEN Foundation,1
3M New Ventures,Alsop Louie Partners,1
3M New Ventures,Clean Pacific Ventures,1
3M New Ventures,Motorola Solutions Venture Capital,1
3T Capital,CDC Enterprises,1
3T Capital,Nestadio Capital,1
3T Capital,Seventure Partners,1
3TS Capital Partners,Global Finance,1
3TS Capital Partners,Integral Capital Partners,2
3TS Capital Partners,Intel Capital,2
3TS Capital Partners,Polaris Partners,1
3TS Capital Partners,Prism Venture Management,2
3TS Cisco Growth Fund,Brett Ratner,1
3TS Cisco Growth Fund,EstÃ©e Lauder,1
3TS Cisco Growth Fund,Innovation Endeavors,1
3TS Cisco Growth Fund,Jean Piggozzi,1
3TS Cisco Growth Fund,Reliance BIG Entertainment,1
